n,dp_time_s,greedy_time_s,relative_error
5000,3.064613,0.0017510419999999804,0.0004846219083718435
10000,6.064942875,0.0028344160000006724,0.00037390318346047395
15000,9.135058667,0.004322874999999726,9.387543700634469e-05
20000,12.123533833,0.0056736250000000155,0.0
25000,15.138585541999998,0.007186625000002778,0.0
30000,18.206638625000004,0.008837541999994869,0.00010076775431861805
35000,21.493155541999997,0.01025633300000095,5.009392611145899e-05
40000,24.186299292,0.01168404199999884,1.6123766028031166e-05
45000,27.250720540999993,0.013491708000003655,2.305059220813148e-05
50000,30.332859834000004,0.015144916999986435,2.4106052857686472e-05
55000,33.294189542,0.016538083999989794,1.7010997609954834e-05
60000,36.30950754199998,0.018675667000024987,0.0
65000,39.321345250000036,0.020423999999991338,2.8219579685038136e-05
70000,42.31033337500003,0.02203316600002836,5.9291320491821504e-06
75000,45.49486708400002,0.02390675000003739,1.9462230760889812e-05
