capacity_b,dp_time_s,greedy_time_s,relative_error
5000,1.4521145829999682,0.001466290999985631,0.0005560719080415942
10000,3.0437173339999504,0.001549542000020665,0.0001467384556341923
15000,4.6614735,0.0013785419999976511,3.578697801337538e-05
20000,6.2722151250000024,0.0013702500000363216,1.9162668056598858e-05
25000,7.886292374999982,0.001437042000020483,7.367180264376526e-05
30000,9.549988791999965,0.0013968750000117325,0.0
35000,11.234818749999988,0.0013793749999990723,0.0
40000,12.81176558300001,0.0014198750000105065,0.0001225460160290189
45000,14.417517958000019,0.0013796660000480188,2.6735894810295458e-05
50000,16.069412875000012,0.0013780419999989135,2.555322737261716e-05
55000,17.706785458000013,0.001428125000018099,2.569253048068389e-05
60000,19.384822832999987,0.0013793329999884918,7.842317143305275e-05
65000,21.056206499999973,0.0013950410000234115,5.2885540881580816e-05
70000,22.72774549999997,0.0014475420000508166,0.0
75000,24.340665875000013,0.0014307080000435235,0.0001489139081671441
